Country Name,Average Internet Usage (%)
Afghanistan,6.1869402135
Albania,40.734722749999996
Algeria,25.488056956521742
American Samoa,
Andorra,67.8495761904762
Angola,13.283343652173913
Antigua and Barbuda,51.127244347826085
Argentina,49.165937083333326
Armenia,34.73623565217391
Aruba,52.02758333333333
Australia,78.57851500000001
Austria,72.48909583333334
Azerbaijan,49.35217204761904
"Bahamas, The",54.12189565217391
Bahrain,64.81420958333334
Bangladesh,12.946654933333333
Barbados,59.003373043478256
Belarus,50.270580476190474
Belgium,73.21275
Belize,34.83661380952381
Benin,8.929146913043478
Bermuda,76.99391111111112
Bhutan,28.715134478260868
Bolivia,27.70287304347826
Bosnia and Herzegovina,42.925070833333336
Botswana,26.100153913043478
Brazil,45.84089624999999
British Virgin Islands,46.041628571428575
Brunei Darussalam,58.39740347826087
Bulgaria,45.40985083333334
Burkina Faso,5.135817486956522
Burundi,2.508327234782609
Cabo Verde,31.86080304347826
Cambodia,14.661342622727272
Cameroon,13.697701347826088
Canada,79.85805652173913
Cayman Islands,65.21292307692308
Central African Republic,2.6340037127272726
Chad,3.4077903999999997
Channel Islands,
Chile,55.69948333333334
China,37.28911333333333
Colombia,38.30748434782608
Comoros,6.450481257142857
"Congo, Dem. Rep.",5.873706243913044
"Congo, Rep.",7.875513442857143
Costa Rica,46.81893041666667
Cote d'Ivoire,15.134814391304348
Croatia,54.062482499999994
Cuba,29.090357956521736
Curacao,64.99135
Cyprus,58.10030833333334
Czechia,61.199492916666664
Denmark,86.21154583333333
Djibouti,21.019274217391306
Dominica,48.48122
Dominican Republic,40.12559782608696
Ecuador,34.38778166666667
"Egypt, Arab Rep.",29.647647869565215
El Salvador,22.229126086956523
Equatorial Guinea,17.24888940909091
Eritrea,5.405050894736842
Estonia,72.32042083333333
Eswatini,20.560871391304346
Ethiopia,6.44322297826087
Faroe Islands,73.90882777777777
Fiji,34.385783913043475
Finland,80.85715833333333
France,66.35572916666666
French Polynesia,37.810498333333335
Gabon,28.62847434782609
"Gambia, The",16.269529347826087
Georgia,35.67032708333333
Germany,75.70839166666667
Ghana,19.06624552173913
Gibraltar,48.121071428571426
Greece,49.975164166666666
Greenland,58.65360555555555
Grenada,37.58526565217391
Guam,50.48812777777778
Guatemala,20.62458839130435
Guinea,8.838097386956521
Guinea-Bissau,8.329105739130435
Guyana,30.31257391304348
Haiti,13.865078286363637
Honduras,20.234801739130436
"Hong Kong SAR, China",71.00679130434783
Hungary,60.0454575
Iceland,89.67500869565218
India,10.576759904761905
Indonesia,21.99268766666667
"Iran, Islamic Rep.",32.24747
Iraq,18.29407018181818
Ireland,66.04358260869566
Isle of Man,
Israel,58.95298260869565
Italy,52.83359166666667
Jamaica,36.08952173913043
Japan,74.73218695652174
Jordan,38.30659739130435
Kazakhstan,44.39704016666667
Kenya,12.449293130434784
Kiribati,17.099821304347824
"Korea, Dem. People's Rep.",0.0
"Korea, Rep.",82.26692083333333
Kosovo,86.6683
Kuwait,61.17070375
Kyrgyz Republic,28.885789999999997
Lao PDR,17.34962608695652
Latvia,63.525162916666666
Lebanon,47.607915652173915
Lesotho,16.96241765217391
Liberia,9.000670728571428
Libya,21.093749777777777
Liechtenstein,78.14341363636363
Lithuania,58.245851249999994
Luxembourg,81.33774583333333
"Macao SAR, China",58.3063652173913
Madagascar,4.772179869565218
Malawi,6.759929500000001
Malaysia,62.7463
Maldives,38.015460000000004
Mali,8.825120130434781
Malta,61.049058333333335
Marshall Islands,18.968182857142857
Mauritania,13.608866130434782
Mauritius,35.87462782608696
Mexico,39.8191
"Micronesia, Fed. Sts.",22.747043043478264
Moldova,35.27004956521739
Monaco,74.8735590909091
Mongolia,26.58959263157895
Montenegro,54.55869473684211
Morocco,43.68008482608696
Mozambique,6.06899852173913
Myanmar,11.006604565238096
Namibia,20.502717826086954
Nauru,63.11068
Nepal,13.927922565217392
Netherlands,83.71401250000001
New Caledonia,42.512058823529415
New Zealand,76.9911347826087
Nicaragua,18.49188852173913
Niger,3.994648059090909
Nigeria,15.0678374
North Macedonia,51.37438043478261
Northern Mariana Islands,
Norway,88.67622083333333
Oman,49.153810416666666
Pakistan,10.853226818181817
Palau,22.93856666666667
Panama,38.67012608695652
Papua New Guinea,7.189277409090909
Paraguay,34.429289625
Peru,35.71830173913043
Philippines,26.116198695652173
Poland,57.20959583333334
Portugal,54.671600000000005
Puerto Rico,48.66584090909091
Qatar,61.64166304347827
Romania,44.66169541666667
Russian Federation,50.53053458333333
Rwanda,10.518629159090908
Samoa,23.032523608695655
San Marino,58.2764125
Sao Tome and Principe,24.24820913043478
Saudi Arabia,52.539955416666665
Senegal,18.441917
Serbia,55.624365
Seychelles,46.13950136363636
Sierra Leone,7.3672832173913045
Singapore,72.77255416666667
Sint Maarten (Dutch part),
Slovak Republic,67.084925
Slovenia,63.35577083333334
Solomon Islands,11.595130869565219
Somalia,4.0566220600000005
South Africa,34.13269434782609
South Sudan,5.795434
Spain,64.98744166666667
Sri Lanka,16.335324235294117
St. Kitts and Nevis,51.234766956521746
St. Lucia,42.289066956521744
St. Martin (French part),
St. Vincent and the Grenadines,36.37743304347826
Sudan,12.704565857142857
Suriname,32.63093826086956
Sweden,86.11796249999999
Switzerland,80.81519166666666
Syrian Arab Republic,18.436584666666665
Tajikistan,12.208447866666667
Tanzania,8.431839826086957
Thailand,36.14309375
Timor-Leste,13.119482466666666
Togo,8.837717391304347
Tonga,25.22972640909091
Trinidad and Tobago,49.54551347826087
Tunisia,36.05065913043478
Turkiye,43.99654041666667
Turkmenistan,5.580386000000001
Turks and Caicos Islands,
Tuvalu,24.316354285714286
Uganda,4.050542231363637
Ukraine,30.74318290909091
United Arab Emirates,70.86428333333333
United Kingdom,78.61817826086957
United States,74.3742695652174
Uruguay,49.1495347826087
Uzbekistan,31.240334375
Vanuatu,20.768156086956523
"Venezuela, RB",30.78546
Viet Nam,37.244457833333335
Virgin Islands (U.S.),35.15715
West Bank and Gaza,41.53963208333334
"Yemen, Rep.",11.207955995238095
Zambia,7.885492869565217
Zimbabwe,12.884294782608695
