Continent,Year,Yearly Growth Rate (%)
Africa,2000,
Africa,2001,37.967930022445316
Africa,2002,35.79763567443939
Africa,2003,29.120713484584893
Africa,2004,47.72175732402288
Africa,2005,16.80945265740881
Africa,2006,24.523579993611257
Africa,2007,12.927031911016496
Africa,2008,22.306690448339793
Africa,2009,6.306279467756659
Africa,2010,40.03352519889305
Africa,2011,13.599005353864824
Africa,2012,16.821215184469928
Africa,2013,15.55612401327533
Africa,2014,16.949466804105718
Africa,2015,18.266813229796107
Africa,2016,13.461430041828715
Africa,2017,14.223055331283918
Africa,2018,18.911123059067727
Africa,2019,11.69441545954497
Africa,2020,15.871719270031814
Africa,2021,7.651075680011599
Africa,2022,9.67045447823498
Africa,2023,-60.197003155189634
Asia,2000,
Asia,2001,19.76369105410234
Asia,2002,22.528557656169856
Asia,2003,21.944165866481868
Asia,2004,16.185502073530422
Asia,2005,11.743087114789553
Asia,2006,15.602791872425904
Asia,2007,17.892790659578917
Asia,2008,14.184891193800976
Asia,2009,12.477044183899167
Asia,2010,15.667933841225068
Asia,2011,12.233553132465635
Asia,2012,9.09259787987935
Asia,2013,9.123192691936177
Asia,2014,9.65487974156436
Asia,2015,6.574451805226911
Asia,2016,9.66547168975147
Asia,2017,7.902158107012158
Asia,2018,11.500708498435696
Asia,2019,5.570275373035893
Asia,2020,2.3426153440761155
Asia,2021,9.024608739374674
Asia,2022,4.888107273981035
Asia,2023,9.883405888057272
Europe,2000,
Europe,2001,23.279183953073446
Europe,2002,30.963648251341436
Europe,2003,17.328109202357744
Europe,2004,11.389446349875909
Europe,2005,9.173494399386438
Europe,2006,7.505096580669135
Europe,2007,9.027871409671695
Europe,2008,7.309602450984909
Europe,2009,6.770426618864334
Europe,2010,5.19257910525226
Europe,2011,2.654527819922814
Europe,2012,5.23510722357956
Europe,2013,3.7507289424888013
Europe,2014,3.577503019665218
Europe,2015,1.7360419567073793
Europe,2016,3.055509295957348
Europe,2017,0.3623117858677416
Europe,2018,1.0755130309658023
Europe,2019,2.7477658278759476
Europe,2020,2.7942221759621244
Europe,2021,2.6564850255339723
Europe,2022,2.0369084855750508
Europe,2023,1.2531061630361995
North America,2000,
North America,2001,29.2852050751534
North America,2002,32.54326458934478
North America,2003,18.13152852355955
North America,2004,8.320712064606607
North America,2005,12.82832205855331
North America,2006,9.112910294022992
North America,2007,8.775685211315576
North America,2008,12.524550586491756
North America,2009,7.743423347794742
North America,2010,7.174700541277912
North America,2011,8.975902523360624
North America,2012,7.916130218592787
North America,2013,5.601277351763767
North America,2014,7.121071317695171
North America,2015,5.652946041940354
North America,2016,7.287489447898143
North America,2017,5.0839744699943346
North America,2018,-1.3274894480289512
North America,2019,8.214431303585478
North America,2020,4.0863923039472505
North America,2021,3.592816872166482
North America,2022,5.831330009534685
North America,2023,6.368167399640368
Oceania,2000,
Oceania,2001,14.272696875708736
Oceania,2002,1.258981556394012
Oceania,2003,12.84531767552326
Oceania,2004,11.868939276258295
Oceania,2005,22.873587098367352
Oceania,2006,9.681264812965985
Oceania,2007,6.467158522615435
Oceania,2008,6.12690643410303
Oceania,2009,10.932389158187794
Oceania,2010,10.063653860628152
Oceania,2011,17.211587190133116
Oceania,2012,3.920204360974422
Oceania,2013,7.589313641985118
Oceania,2014,8.016754024273753
Oceania,2015,7.18624634319549
Oceania,2016,3.0841520316876814
Oceania,2017,19.28504199542582
Oceania,2018,4.807129595562887
Oceania,2019,8.798598378305478
Oceania,2020,13.5928910188712
Oceania,2021,2.6167139680154827
Oceania,2022,1.561783678970441
Oceania,2023,
South America,2000,
South America,2001,32.60714219462002
South America,2002,24.88600191506429
South America,2003,26.89151969953589
South America,2004,22.006259564243823
South America,2005,20.391253817276844
South America,2006,26.024323553740626
South America,2007,24.968430223527992
South America,2008,19.784936452792756
South America,2009,19.912540853230908
South America,2010,14.24475753604193
South America,2011,11.148275614827563
South America,2012,10.758866414868763
South America,2013,7.7479439523407745
South America,2014,5.750748064276134
South America,2015,8.232988144634735
South America,2016,6.042852708062707
South America,2017,7.045025791882353
South America,2018,6.797635923916956
South America,2019,5.603584195067635
South America,2020,10.319817491669415
South America,2021,3.9253034647061424
South America,2022,2.6407395221953456
South America,2023,4.8982801728923775
